Letter,MAD1,ptp1,SC1,fftPeak1,meanFFTOne1,meanFFTTwo1,meanFFTThree1,meanFFTFour1,meanFFTFive1,stdFFTOne1,stdFFTTwo1,stdFFTThree1,stdFFTFour1,stdFFTFive1,meanSTFTOne1,meanSTFTTwo1,meanSTFTThree1,meanSTFTFour1,meanSTFTFive1,stdSTFTOne1,stdSTFTTwo1,stdSTFTThree1,stdSTFTFour1,stdSTFTFive1,MAD2,ptp2,SC2,fftPeak2,meanFFTOne2,meanFFTTwo2,meanFFTThree2,meanFFTFour2,meanFFTFive2,stdFFTOne2,stdFFTTwo2,stdFFTThree2,stdFFTFour2,stdFFTFive2,meanSTFTOne2,meanSTFTTwo2,meanSTFTThree2,meanSTFTFour2,meanSTFTFive2,stdSTFTOne2,stdSTFTTwo2,stdSTFTThree2,stdSTFTFour2,stdSTFTFive2
A,0.396663811,15.68244703,0.19611318,8.928571429,60.0064796,36.93686351,77.01788203,16.70787571,52.29501638,7.714705378,23.40249974,10.04847796,8.486592864,2.295939863,3.625279269,6.973057049,1.952902809,4.277585958,0.888533797,0.348751216,0.679080032,0.12296977,0.180390801,0.047520788,0.458355778,10.69352445,0.193664676,8.928571429,79.82286434,76.14163668,16.73749072,5.101822603,42.21596784,7.757248132,20.36861071,6.454028004,6.380725446,2.749523203,3.373887625,5.784397492,1.467713954,2.633237177,0.855564642,0.232079578,0.653479005,0.093277717,0.1662772,0.047513141
A,0.429553608,17.1992745,0.182851552,8.035714286,69.69398389,62.03431138,70.91850247,17.71167596,42.5219972,5.697380732,17.14200842,6.858670829,7.674386513,1.601283352,4.45971763,8.534540787,2.216763082,4.359610606,1.1701405,0.329978793,0.852809405,0.135439248,0.205746608,0.036526306,0.459261156,12.40351564,0.183026933,8.928571429,80.09020645,87.9976688,17.29021527,4.270925868,32.98928465,4.736240413,18.00485344,5.292475043,6.882320513,1.862081785,3.880133549,6.489875205,1.709686362,2.748332305,0.967428311,0.256872779,0.782365947,0.16509709,0.215811687,0.054836464
A,0.395245023,19.82160521,0.185050155,8.035714286,63.76483772,53.25629548,72.78873056,12.0901877,57.45272095,6.853583662,25.95563277,9.252334526,8.254198917,2.419549845,4.392206469,8.742833173,2.390169359,5.85862649,1.037613175,0.648934553,0.735468348,0.104358107,0.184333176,0.037056391,0.460738055,12.50789632,0.177957166,8.035714286,80.66431698,87.03864494,16.51323009,6.817492067,33.45389918,6.306614138,20.67862054,6.276093226,6.396147048,2.154470512,3.932839481,6.498084139,1.624767491,3.047461303,0.903617749,0.322862536,0.679697284,0.114062224,0.177122029,0.044632184
A,0.398506792,16.89933535,0.169310175,7.142857143,70.06347413,68.53136089,64.66731865,10.1768118,44.74311568,3.888140665,21.28410678,8.711766251,7.453017037,1.434337639,4.083396756,7.916138383,1.939717223,4.711386366,0.814098552,0.510381546,0.545294187,0.093781147,0.142273562,0.025469091,0.419310977,11.76303882,0.162955798,7.142857143,85.45948799,87.48227602,15.10864067,9.859623185,20.37845694,8.007096724,18.50727885,5.239604756,6.404805958,2.596370336,3.461789325,6.120044704,1.306108883,2.386554578,0.740552224,0.485641693,0.548145706,0.106799047,0.148369954,0.029721016
A,0.363326162,21.77092553,0.18671241,5.357142857,57.17359651,46.61454821,78.69055262,11.6342769,61.40113646,4.38312498,32.11098925,11.77490563,11.2077068,2.418836651,4.022028313,8.700312492,2.499826066,6.539830245,0.964014402,0.783407498,0.601807445,0.058991349,0.159080604,0.03208791,0.388087335,13.75607256,0.159948705,7.142857143,91.979831,77.32284631,24.95250483,12.34519621,23.97393266,8.370154015,24.37899631,5.226344125,6.825585353,3.203115584,3.693464384,7.157340621,1.563693814,3.101201137,0.796192163,0.448166081,0.534690845,0.084346981,0.140241406,0.036094658
A,0.287683415,26.67798441,0.195783705,8.035714286,47.04047222,27.3740946,82.80076556,10.2446039,72.48524289,4.674613165,38.95043493,13.71468728,15.28707488,1.941646294,3.612627462,9.545919918,2.576281594,8.301916059,0.895835534,1.381633211,0.517799155,0.148367006,0.136744343,0.027831134,0.39048763,14.56613292,0.162761269,8.035714286,86.25985607,75.65428573,46.79584911,18.91926642,16.2785556,5.255162834,18.43097433,2.789210827,7.321110808,2.951409948,3.693813585,7.724009817,1.525722012,3.227903666,0.898502847,1.030784265,0.556060272,0.240743849,0.125135934,0.025123803
A,0.349422414,23.69186167,0.188863441,7.142857143,63.28846102,43.85858767,68.69155935,9.047047029,67.54115158,4.341251539,35.27927682,12.3723733,13.74847256,1.8467125,4.050150507,9.181923804,2.52231069,7.481553587,0.932609777,1.166575945,0.533027645,0.132270082,0.137841631,0.036340966,0.402379655,14.35423052,0.160584073,8.035714286,88.94119573,78.75658788,26.29172125,13.52254111,25.84236796,9.567640961,22.39039089,5.109944757,7.052293789,4.00609005,3.625478445,7.075874122,1.53409893,3.41458375,0.800106113,0.710692641,0.496490275,0.112030744,0.121663752,0.024464715
A,0.313138133,24.011471,0.194459437,7.142857143,52.86919728,41.70926757,72.52446523,9.492729603,72.2962041,4.674837754,38.7085201,13.12172634,14.24960358,2.55604261,3.776646848,9.259951775,2.540564857,8.106104401,0.913139501,1.364547395,0.52891484,0.14017337,0.131482305,0.033363093,0.386555933,14.2006142,0.163099227,8.035714286,81.17017297,85.19186767,23.60892106,16.13452835,31.30970601,8.388973939,23.69277393,6.258663475,6.613369526,2.391494169,3.548357936,7.126407148,1.479585873,3.672887863,0.746677183,0.772673946,0.461387875,0.129388512,0.105563948,0.020362391
A,0.368752738,21.23791811,0.18048522,8.035714286,67.78068671,42.15394179,73.62798964,11.96191968,63.57209234,8.477609638,24.1096552,9.55601638,9.329506688,2.093754367,4.190819931,9.28213106,2.39156881,6.320547006,0.997414482,0.595393758,0.702512934,0.123300749,0.172260838,0.044266385,0.433148306,14.1363703,0.156862844,8.035714286,93.19653573,71.74793988,36.88633407,17.1606082,19.37295281,4.436661445,14.10147654,5.239470255,5.799997713,0.911056248,3.955016378,7.32085414,1.499140162,2.600615391,0.878238411,0.356537891,0.658548133,0.09804774,0.168988183,0.04689075
A,0.389750318,17.98003509,0.173553087,7.142857143,73.2736792,53.85329887,70.46245422,15.03410105,51.48147673,7.473837657,19.76875686,8.188765048,7.126401363,1.406993559,4.189139037,8.94773179,2.201570695,5.37569404,0.953701513,0.44571538,0.661509953,0.08435763,0.170187307,0.032211273,0.42502793,13.87160897,0.159138879,7.142857143,93.63583491,74.03687348,34.84165374,17.41003608,16.60415458,3.190872923,12.93577728,2.87808508,5.606650159,1.934496309,3.928381364,7.168100475,1.486697639,2.368527369,0.916859848,0.37474399,0.720154705,0.14123064,0.1821828,0.034343792
